v8-version,4,6,85,28,0
code-creation,Stub,2,0x65b7ab06000,380,"CEntryStub"
code-creation,Stub,2,0x65b7ab06180,556,"CEntryStub"
code-creation,Stub,2,0x65b7ab063c0,168,"StoreBufferOverflowStub"
code-creation,Stub,2,0x65b7ab06480,388,"StoreBufferOverflowStub"
code-creation,Stub,2,0x65b7ab06620,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0x65b7ab066a0,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0x65b7ab06720,482,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x65b7ab06920,446,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x65b7ab06ae0,502,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x65b7ab06ce0,466,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x65b7ab06ec0,442,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x65b7ab07080,442,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x65b7ab07240,466,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x65b7ab07420,466,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x65b7ab07600,602,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x65b7ab07860,562,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x65b7ab07aa0,622,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x65b7ab07d20,582,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x65b7ab07f80,586,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x65b7ab081e0,586,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x65b7ab08440,582,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x65b7ab086a0,582,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x65b7ab08900,570,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x65b7ab08b40,530,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x65b7ab08d60,590,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x65b7ab08fc0,550,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x65b7ab09200,562,"ArrayNArgumentsConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x65b7ab09440,562,"ArrayNArgumentsConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x65b7ab09680,498,"ArrayNArgumentsConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x65b7ab09880,498,"ArrayNArgumentsConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x65b7ab09a80,2723,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab0a540,2680,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab0afc0,486,"CreateAllocationSiteStub"
code-creation,Stub,2,0x65b7ab0b1c0,2722,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab0bc80,2672,"RecordWriteStub"
code-creation,Stub,2,0x65b7ab0c700,430,"CreateWeakCellStub"
code-creation,Stub,11,0x65b7ab0c8c0,152,"BinaryOpICStub(BIT_OR:None*None->None)"
code-creation,Stub,11,0x65b7ab0c960,152,"BinaryOpICStub(BIT_XOR:None*None->None)"
code-creation,Stub,11,0x65b7ab0ca00,152,"BinaryOpICStub(BIT_AND:None*None->None)"
code-creation,Stub,11,0x65b7ab0caa0,152,"BinaryOpICStub(SHL:None*None->None)"
code-creation,Stub,11,0x65b7ab0cb40,152,"BinaryOpICStub(SAR:None*None->None)"
code-creation,Stub,11,0x65b7ab0cbe0,152,"BinaryOpICStub(SHR:None*None->None)"
code-creation,Stub,11,0x65b7ab0cc80,152,"BinaryOpICStub(ROR:None*None->None)"
code-creation,Stub,11,0x65b7ab0cd20,152,"BinaryOpICStub(ADD:None*None->None)"
code-creation,Stub,11,0x65b7ab0cdc0,152,"BinaryOpICStub(SUB:None*None->None)"
code-creation,Stub,11,0x65b7ab0ce60,152,"BinaryOpICStub(MUL:None*None->None)"
code-creation,Stub,11,0x65b7ab0cf00,152,"BinaryOpICStub(DIV:None*None->None)"
code-creation,Stub,11,0x65b7ab0cfa0,152,"BinaryOpICStub(MOD:None*None->None)"
code-creation,Stub,11,0x65b7ab0d040,232,"BinaryOpICStub(ADD:Int32*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0d140,414,"BinaryOpICStub(ADD:Int32*Int32->Number)"
code-creation,Stub,11,0x65b7ab0d2e0,442,"BinaryOpICStub(ADD:Int32*Number->Number)"
code-creation,Stub,11,0x65b7ab0d4a0,232,"BinaryOpICStub(ADD:Int32*Smi->Int32)"
code-creation,Stub,11,0x65b7ab0d5a0,442,"BinaryOpICStub(ADD:Number*Int32->Number)"
code-creation,Stub,11,0x65b7ab0d760,466,"BinaryOpICStub(ADD:Number*Number->Number)"
code-creation,Stub,11,0x65b7ab0d940,442,"BinaryOpICStub(ADD:Number*Smi->Number)"
code-creation,Stub,11,0x65b7ab0db00,232,"BinaryOpICStub(ADD:Smi*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0dc00,414,"BinaryOpICStub(ADD:Smi*Int32->Number)"
code-creation,Stub,11,0x65b7ab0dda0,442,"BinaryOpICStub(ADD:Smi*Number->Number)"
code-creation,Stub,11,0x65b7ab0df60,232,"BinaryOpICStub(ADD:Smi*Smi->Int32)"
code-creation,Stub,11,0x65b7ab0e060,232,"BinaryOpICStub(ADD:Smi*Smi->Smi)"
code-creation,Stub,11,0x65b7ab0e160,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0e240,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Smi)"
code-creation,Stub,11,0x65b7ab0e320,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Int32)"
code-creation,Stub,11,0x65b7ab0e400,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Smi)"
code-creation,Stub,2,0x65b7ab0e4e0,184,"DoubleToIStub"
code-creation,Stub,11,0x65b7ab0e5a0,332,"BinaryOpICStub(BIT_AND:Number*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0e700,332,"BinaryOpICStub(BIT_AND:Number*Smi->Smi)"
code-creation,Stub,11,0x65b7ab0e860,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0e940,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Smi)"
code-creation,Stub,11,0x65b7ab0ea20,332,"BinaryOpICStub(BIT_AND:Smi*Number->Smi)"
code-creation,Stub,11,0x65b7ab0eb80,212,"BinaryOpICStub(BIT_AND:Smi*Smi->Smi)"
code-creation,Stub,11,0x65b7ab0ec60,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0ed40,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Smi)"
code-creation,Stub,11,0x65b7ab0ee20,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Int32)"
code-creation,Stub,11,0x65b7ab0ef00,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Smi)"
code-creation,Stub,11,0x65b7ab0efe0,332,"BinaryOpICStub(BIT_OR:Number*Smi->Int32)"
code-creation,Stub,11,0x65b7ab0f140,332,"BinaryOpICStub(BIT_OR:Number*Smi->Smi)"
code-creation,Stub,11,0x65b7ab0f2a0,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0f380,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Smi)"
code-creation,Stub,11,0x65b7ab0f460,212,"BinaryOpICStub(BIT_OR:Smi*Smi->Smi)"
code-creation,Stub,11,0x65b7ab0f540,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0f620,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Smi)"
code-creation,Stub,11,0x65b7ab0f700,332,"BinaryOpICStub(BIT_XOR:Int32*Number->Smi)"
code-creation,Stub,11,0x65b7ab0f860,212,"BinaryOpICStub(BIT_XOR:Int32*Smi->Int32)"
code-creation,Stub,11,0x65b7ab0f940,332,"BinaryOpICStub(BIT_XOR:Number*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0faa0,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Int32)"
code-creation,Stub,11,0x65b7ab0fc00,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Smi)"
code-creation,Stub,11,0x65b7ab0fd60,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Int32)"
code-creation,Stub,11,0x65b7ab0fe40,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Smi)"
code-creation,Stub,11,0x65b7ab0ff20,212,"BinaryOpICStub(BIT_XOR:Smi*Smi->Smi)"
